"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36978613572853","1.95042957139392","1.86129988322751","2.23706942196111","2.32800275800812","2.06075131768437","1.89747275108326","1.77859261784739","1.1447151131951","1.06143348132958","1.33435667773489","1.01255579897999","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9805","19.4323333333333","17.4636666666667","7.1025","7.67923076923077","17.5472118959108","5.70959367945824","4.70739276826233","2.44784815671705","5.97225116095868","2.64200770687947","17.334692213616","6.39260315427404","4.52435381521459","3.51023506834408","4.72213379180699","4.16241473796093","4.83484197372832","4.71484492819948","3.36223184907008","3.75821463787197","4.38612881814425","4.24488429189766","3.49561936904927","3.59335773707098","4.87603161832403","5.40021316799854","3.51593857254428","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.61500470366886","5.16567638330751","5.88830082474813","5.79127052776037","4.44845197534468","3.19929790202817","2.50038576220844","2.09971303703802","1.37902873137544","1.28308157356327","1.23824307676577","1.24920882100311","1.24635933859902","1.30929225051135","1.32003499118436","1.33684453735893","1.38115868415271","1.35000545455818","1.56776946295716","1.82076528014737","1.98486885667765","1.51721713952654","1.55859189306875","1.52826633775804","1.48708257653319","1.40845822632974","1.34737024351043","1.16113478483298","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.05472557404317","7.80426374212966","","11.479097644464","8.72510668726941","7.93732632608013","7.34924333934594","6.65772391774603","6.08319105991352","6.26556952959409","7.17297511801995","6.19488118705172","6.08618714759495","6.51872757927976","5.99876564019659","5.56582949172184","5.163174800051","4.71959897424684","4.4630558700388","4.57969766618451","4.19808545571252","5.37263935277782","5.12287918562427","5.08626352603396","5.27750474128417","5.85106651541829","6.44068154966423","8.18958149450257","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23125030233088","5.29948113445167","5.01280124852479","5.63157166754963","5.61210504675656","4.87552690304984","4.69231072434317","4.61147388489275","3.65647745569231","3.226126784392","3.28052136989454","3.66802298461867","5.4571072353951","6.11946782162985","5.50367901547077","5.09439424133513","6.06308614223812","5.6610560557543","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.12493922313663","1.88037142585904","1.45091554117098","1.50692651364508","1.42253282338073","1.42280306119888","1.45703853325047","1.47307453443229","1.2412284045824","1.14013911131295","1.13631707160019","1.22035954754993","1.14882368723143","1.1842346437015","1.09188047859748","1.06089364594404","0.88329535883353","0.843934081280017","0.784776899774303","0.788973299777707","0.75943888416492","0.882496324847519","0.810499364543456","0.759933854079133","0.780600598500981","0.834513591756015","0.872450095456478","0.862948056192502","",
"Armenia","ARM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09548975296484","2.12165247900191","","4.05931197996886","3.28186689273156","3.90940345225657","3.52809604879608","3.69737538591187","3.56002487253697","3.12724938530975","2.69771474886414","2.72837221377968","2.74199670493715","2.87193136291811","2.94761315625864","3.04257470127966","3.39557936270657","4.15704990783508","4.26564605593771","3.85394644115574","3.58376691873744","3.99724455730484","3.94337826474581","4.24895108174756","",
"American Samoa","ASM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.30524249793238","2.1661700091356","2.12541389704172","2.17361956534841","2.21574881717176","2.23045354620153","2.18659923062911","2.08685632645484","1.98162431941924","1.92140114594132","1.92193028798377","1.94173896359975","1.89881464082043","1.93095497723409","1.94142991393545","1.91152962333899","1.89364782480986","1.88024240478388","1.89567473389378","1.89032280628126","1.8858329916354","1.93176734402948","1.95180895699173","1.82898932114244","1.69813674427214","1.6869120162059","1.80511782947889","1.95065215378813","",
"Austria","AUT","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28856893556516","1.22265546042444","1.18789649867135","1.15016663555756","1.0996428570406","1.11373902165863","1.09701951734419","1.06366494440733","1.03825369133228","1.01959708072363","0.992196271639951","0.980245978816167","0.980318028301828","0.908241361211633","0.883529203038497","0.913639409101061","0.893480392250232","0.853723727492177","0.789783772018703","0.905658928585406","0.876167774105327","0.838783240520334","0.824770260752985","0.794737314822123","0.782235046652819","0.754016805955666","0.753954995133431","0.672999897262704","",
"Azerbaijan","AZE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48957490508496","4.93372888045734","3.68316850709437","2.73690130284","2.25423034135488","2.32404979925782","2.41235591259715","2.62510993144516","2.26786206311863","2.31206260817217","2.24332117101365","2.4263625550969","2.62945031241574","2.29906967458575","3.4177538630434","2.86419491898944","3.29121114577001","3.32542168167072","2.79100435652891","4.67013555547022","4.72321511251042","4.57820552365175","4.55781667000125","5.61155870702328","",
"Burundi","BDI","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16476270695691","3.40268072851541","3.49812768854641","3.66213933118765","3.59973410797389","3.86353666939169","4.53061548546146","4.20907298696168","5.85632839224629","6.35939323220537","6.57171414292854","6.25823451910408","4.86185018351773","6.0710408062133","5.44104157934972","5.53277978191025","4.90266162372368","4.43561734524992","3.51225471482019","3.41490014313953","2.7212308336386","","","","2.38501869074756","2.24200930035414","2.00984219730289","2.13616119690109","",
"Belgium","BEL","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5109008338495","2.35053348410381","2.24984535470946","2.18513488833423","1.75018851164843","1.65814202040856","1.60195631761556","1.5364164679575","1.50767056400225","1.44581970865877","1.40611779797484","1.38298133695839","1.34121027642881","1.27650416647228","1.21571220776463","1.21498815616525","1.14927213880449","1.09156005763437","1.05123918569066","1.09453530115676","1.2138983166693","1.16003992188797","1.08463286136283","1.04350679479608","1.03819328046625","1.00558599317509","0.976284495239958","0.915801796901578","",
"Benin","BEN","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.27937981036067","1.89882245053644","1.67438255284865","","","","","","","","","0.66336573878389","0.564235731467308","0.489234997709574","0.851197745420385","0.884527271125209","0.924055932345307","0.9306575104586","0.909814422254454","","0.907423061269215","","","","0.959491602796665","0.939232503647376","0.957933118033128","1.09632501988295","",
"Burkina Faso","BFA","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.18600765861809","2.55454797694272","2.7235529269857","2.21705116495923","2.11865316579863","1.89174482856421","1.59654194792042","1.54917017470359","1.43596042486539","1.57493599252235","1.40806161670286","1.38553138632928","1.39243072523767","1.30945656904446","1.32482343147172","1.20686530442257","1.35751934660677","1.35177109778042","1.24271952672016","1.59590863297221","1.40107265906706","1.52145511081128","1.37751595196569","1.29475975931171","1.32300642548991","1.33673146971773","1.66579457062853","","",
"Bangladesh","BGD","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00127043615124035","0.0013230700183239","0.00124039561626011","0.00126400025101875","0.00139366194733521","0.00148664342428461","0.00162559710434702","0.00163760428936479","0.00140600725057897","0.00145292339213969","0.0014501554750822","0.00146835230454321","0.00143858421977407","0.00135137676711993","0.00125585222526226","0.00120106752195574","0.00119654719823241","0.00116534227198031","0.00118574138128027","0.00119443049994392","0.00112390047335757","0.0012325809731688","0.0014187900850454","0.00145866236134963","0.00141461266724646","0.00133415137644319","0.00137177950253425","0.00137252736537788","",
"Bulgaria","BGR","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39624853458382","3.83339281701498","3.04347826086957","2.97310756972112","2.60956841753095","2.4923896499239","2.38078422348843","2.11291530601408","2.18269519946727","2.18974973490051","2.64517440953437","2.67217253609125","2.87226096968113","2.78689740332968","2.70016677226802","2.4938177649359","2.34543363350552","2.18915634401244","2.3057599305602","1.89890472051296","1.86014496638251","1.76538418638391","1.44380251916793","1.49816415469114","1.61331768924712","1.4730794021842","1.31645318203049","",
"Bahrain","BHR","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.60304575820703","5.64466166448682","5.658953722334","5.70375064815348","5.87774294670846","5.37001994578837","5.11130194366571","5.18323202615404","5.27393999363379","5.06848720024768","5.33310395251817","5.5031132959676","3.96167097999708","4.14808165593553","4.61110658744068","4.65883283125604","4.04492888580189","3.21439446479275","3.10294772848129","2.95698661522946","2.80016426526979","3.61053106343705","3.27775933240865","3.59149722735675","3.84457702733326","4.14145517346788","4.41858946070427","4.59271386239118","",
